Dimension,Sub-Dimension,AgentOps Current,Multica,Paperclip,Golutra,CrewAI,AutoGen,AgentOps Target,Gap Severity,Effort,Score (1-5),Score Rationale
Communication,Crash recovery replay,Yes (MessageBus),No,No,No,No,No,Yes,Maintain,-,5,SQLite persistence + replay(); unique capability
Project Isolation,Isolation unit,Per-agent,Per-task,Per-company,Per-session,Per-crew,Per-conversation,Per-task + per-squad,High,Medium,5,createForTask() with isolated directories + injection
Project Isolation,Auto-cleanup/GC,No,Yes (24h/72h/12h),No,No,No,No,Yes,Medium,Low,5,scheduleGc() + 7-day archived cleanup + gc-pending status
Project Isolation,Context injection,No,Yes (skills+context files),No,Session-level,Knowledge sources,Conversation history,Yes,Medium,Medium,5,injectProjectTree() + injectFiles with skip patterns for node_modules/.git/etc
Project Isolation,Size limits,Yes (max_size_bytes),Soft (GC),No,No,No,No,Yes,Maintain,-,5,Hard limit with _enforceSize() check before write
Project Isolation,Snapshots,Yes,No,No,No,No,No,Yes,Maintain,-,5,snapshot()/rollback()/deleteSnapshot() with .snapshots/ directory
Project Isolation,Multi-project,No (single implicit),Yes (workspace_id),Yes (multi-company),Session-based,Yes (crew-level),Yes (group chat),Yes,Medium,High,3,Per-task isolation but no cross-project boundaries
DAG Orchestration,Cycle detection,Yes (Kahn's),No,No,No,No,No,Yes,Maintain,-,5,Kahn's algorithm; unique among desktop tools
DAG Orchestration,Parallel execution,Yes (maxParallel=4),No,No,Yes (unlimited),Async kickoff,Yes,Yes,Maintain,-,5,Configurable maxParallel with back-pressure
DAG Orchestration,Retry with backoff,Yes (exponential),No,No,No,No,No,Yes,Maintain,-,5,Exponential backoff; unique among desktop tools
DAG Orchestration,Failure modes (fail-fast/best-effort),Yes,No,No,No,No,No,Yes,Maintain,-,5,Dual mode: fail-fast or best-effort; unique
DAG Orchestration,Data flow edges,Yes (data_key),No,No,No,No,No,Yes,Maintain,-,5,Data flow via data_key; unique among competitors
Governance,Budget enforcement,Yes (3-tier),No,Yes,No,No,No,Yes,Maintain,-,5,3-tier budget: company/agent/task; unique desktop feature
Governance,RBAC (admin/operator/viewer),Yes,No,Yes,No,No,No,Yes,Maintain,-,5,Full RBAC with role-based permissions
Governance,Approval gates,Yes,No,Yes,No,No,No,Yes,Maintain,-,5,Governance gates for sensitive operations
Governance,Audit logs,Yes,No,Yes,No,No,Yes,Yes,Maintain,-,5,Complete audit trail
Agent Lifecycle,State machine,Yes (5 states),Simple (idle/running),No,Yes (inferred),No,No,Yes,Maintain,-,5,5-state machine: pending/running/paused/completed/failed
Agent Lifecycle,Resource monitoring,Yes (RSS memory),No,No,No,No,No,Yes,Maintain,-,5,RSS memory monitoring per agent instance
Agent Lifecycle,Crash recovery,Yes (exponential backoff),No,No,No,No,No,Yes,Maintain,-,5,Exponential backoff restart on crash
Agent Lifecycle,Skill injection,Yes (AGENT_SKILLS env),Yes (per-provider path),Yes (routines),EverOS memory,Knowledge sources,No,Yes,Maintain,-,5,AGENT_SKILLS env var injection at spawn time
